R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,10,919.5,2878.41,3.13,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,92,0.05,0.29,5.8,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,95,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,109,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,477,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1855,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,965,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,210,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,244,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,230,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,96,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,普通,45295,R8 左轮手枪 | 稳,205,0.2,0.51,2.55,2024-06-20
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,175,0.18,0.44,2.44,2024-06-20
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,213,0.18,0.51,2.83,2024-06-20
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,322,0.16,0.36,2.25,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,440,0.1,0.29,2.9,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1113,0.06,0.22,3.67,2024-06-20
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,231,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,630,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,92,0.05,0.29,5.8,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,95,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,109,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,477,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1855,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,965,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,210,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,244,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,230,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,96,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,普通,45295,R8 左轮手枪 | 稳,205,0.2,0.51,2.55,2024-06-20
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,175,0.18,0.44,2.44,2024-06-20
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,213,0.18,0.51,2.83,2024-06-20
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,322,0.16,0.36,2.25,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,440,0.1,0.29,2.9,2024-06-20
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1113,0.06,0.22,3.67,2024-06-20
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,231,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,630,0.06,0.29,4.83,2024-06-20
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,92,0.05,0.29,5.8,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,95,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,109,0.05,0.22,4.4,2024-06-20
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,477,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1855,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,965,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,210,0.04,0.22,5.5,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,244,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,230,0.03,0.22,7.33,2024-06-20
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,96,0.03,0.22,7.33,2024-06-20
