廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,117,1318.5,1664.11,1.26,2024-06-17
廓尔喀刀,崭新出厂,★,956703,廓尔喀刀（★） | 人工染色,18,2694.5,5596.04,2.08,2024-06-20
廓尔喀刀,崭新出厂,★,957345,廓尔喀刀（★） | 狩猎网格,6,2694.47,4590.31,1.7,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956742,廓尔喀刀（★ StatTrak™） | 蓝钢,15,2628.5,4497.99,1.71,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956690,廓尔喀刀（★ StatTrak™） | 蓝钢,12,2554.5,3402.34,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957390,廓尔喀刀（★ StatTrak™） | 深红之网,6,2549.5,3302.12,1.3,2024-06-20
廓尔喀刀,久经沙场,★,956648,廓尔喀刀（★） | 表面淬火,202,2537,3362.93,1.33,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956706,廓尔喀刀（★ StatTrak™） | 表面淬火,28,2498.5,3964.94,1.59,2024-06-20
廓尔喀刀,久经沙场,★,956656,廓尔喀刀（★） | 蓝钢,61,2488.5,3208.79,1.29,2024-06-20
廓尔喀刀,破损不堪,★,956741,廓尔喀刀（★） | 深红之网,31,2419,4088.31,1.69,2024-06-20
廓尔喀刀,战痕累累,★,956667,廓尔喀刀（★） | 蓝钢,77,2364.5,3265.83,1.38,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957054,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2355.5,2985.04,1.27,2024-06-20
廓尔喀刀,破损不堪,★,956506,廓尔喀刀（★） | 蓝钢,58,2309.5,2892.07,1.25,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956927,廓尔喀刀（★ StatTrak™） | 蓝钢,20,2299.5,3670.87,1.6,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956954,廓尔喀刀（★ StatTrak™） | 人工染色,20,2243.5,2896.07,1.29,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956755,廓尔喀刀（★ StatTrak™） | 表面淬火,17,2197.5,4483.98,2.04,2024-06-20
廓尔喀刀,略有磨损,★,956696,廓尔喀刀（★） | 人工染色,77,2186.5,2800.34,1.28,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956718,廓尔喀刀（★ StatTrak™） | 蓝钢,21,2147.5,3447.27,1.61,2024-06-20
廓尔喀刀,战痕累累,★,956671,廓尔喀刀（★） | 表面淬火,86,2079.5,3075.9,1.48,2024-06-20
廓尔喀刀,破损不堪,★,956684,廓尔喀刀（★） | 表面淬火,133,2077,3047.75,1.47,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956714,廓尔喀刀（★ StatTrak™） | 夜色,17,1943.5,2953.33,1.52,2024-06-20
廓尔喀刀,久经沙场,★,956523,廓尔喀刀（★） | 人工染色,66,1937,2503.8,1.29,2024-06-20
廓尔喀刀,略有磨损,★,956685,廓尔喀刀（★） | 夜色,53,1879.5,2453.44,1.31,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957393,廓尔喀刀（★ StatTrak™） | 深红之网,23,1858,2431.45,1.31,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956691,廓尔喀刀（★ StatTrak™） | 人工染色,26,1848.5,2689.3,1.45,2024-06-20
廓尔喀刀,战痕累累,★,956702,廓尔喀刀（★） | 深红之网,65,1844.5,2697.07,1.46,2024-06-20
廓尔喀刀,破损不堪,★,956546,廓尔喀刀（★） | 人工染色,52,1729.5,2253.42,1.3,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957053,廓尔喀刀（★ StatTrak™） | 都市伪装,16,1725.5,2177.22,1.26,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956746,廓尔喀刀（★ StatTrak™） | 人工染色,9,1693.9,2572.6,1.52,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956745,廓尔喀刀（★ StatTrak™） | 人工染色,13,1688.99,2548.15,1.51,2024-06-20
廓尔喀刀,略有磨损,★,956607,廓尔喀刀（★） | 枯焦之色,55,1677.5,2253.42,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956693,廓尔喀刀（★） | 人工染色,46,1665.5,2192.75,1.32,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957373,廓尔喀刀（★ StatTrak™） | 枯焦之色,15,1665,3250.08,1.95,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,957356,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,15,1664.5,2177.15,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956649,廓尔喀刀（★） | 都市伪装,48,1648.5,2322.37,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957798,廓尔喀刀（★ StatTrak™） | 夜色,16,1598,2086.5,1.31,2024-06-20
廓尔喀刀,略有磨损,★,956675,廓尔喀刀（★） | 森林 DDPAT,56,1549.5,2180.12,1.41,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956928,廓尔喀刀（★ StatTrak™） | 北方森林,9,1527.5,4440.88,2.91,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956929,廓尔喀刀（★ StatTrak™） | 夜色,6,1498.5,1813.55,1.21,2024-06-20
廓尔喀刀,略有磨损,★ StatTrak™,956605,廓尔喀刀（★ StatTrak™） | 狩猎网格,8,1497,1695.62,1.13,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956701,廓尔喀刀（★ StatTrak™） | 都市伪装,21,1469,2349.37,1.6,2024-06-20
廓尔喀刀,略有磨损,★,956683,廓尔喀刀（★） | 北方森林,36,1465.5,2032.07,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956661,廓尔喀刀（★） | 夜色,110,1459.5,1886.78,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956619,廓尔喀刀（★ StatTrak™） | 夜色,29,1437,2379.63,1.66,2024-06-20
廓尔喀刀,战痕累累,★,956674,廓尔喀刀（★） | 夜色,81,1359.5,1919.58,1.41,2024-06-20
廓尔喀刀,破损不堪,★,956668,廓尔喀刀（★） | 夜色,30,1349.5,2332.75,1.73,2024-06-20
廓尔喀刀,略有磨损,★,956594,廓尔喀刀（★） | 狩猎网格,41,1349.5,1814.2,1.34,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956662,廓尔喀刀（★ StatTrak™） | 枯焦之色,20,1299.5,1763.55,1.36,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,957441,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,7,1298.5,2419.11,1.86,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956652,廓尔喀刀（★ StatTrak™） | 北方森林,30,1298.5,1662.67,1.28,2024-06-20
廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,120,1292.5,1711.8,1.32,2024-06-20
廓尔喀刀,战痕累累,★,956673,廓尔喀刀（★） | 枯焦之色,85,1283,1712.75,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957857,廓尔喀刀（★ StatTrak™） | 枯焦之色,2,1279.5,2794.03,2.18,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956962,廓尔喀刀（★ StatTrak™） | 都市伪装,5,1279,3202.33,2.5,2024-06-20
廓尔喀刀,战痕累累,★,956688,廓尔喀刀（★） | 都市伪装,82,1278.5,1734.52,1.36,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956628,廓尔喀刀（★ StatTrak™） | 都市伪装,35,1267.5,1792.87,1.41,2024-06-20
廓尔喀刀,久经沙场,★,956659,廓尔喀刀（★） | 枯焦之色,107,1265.5,1692.86,1.34,2024-06-20
廓尔喀刀,久经沙场,★,956647,廓尔喀刀（★） | 都市伪装,103,1259.5,1648.59,1.31,2024-06-20
廓尔喀刀,破损不堪,★,956689,廓尔喀刀（★） | 都市伪装,27,1256.5,1837.57,1.46,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956699,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,3,1249.5,2104.65,1.68,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956655,廓尔喀刀（★ StatTrak™） | 枯焦之色,31,1249,1828.86,1.46,2024-06-20
廓尔喀刀,战痕累累,★,956686,廓尔喀刀（★） | 狩猎网格,71,1239.5,1752.66,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956664,廓尔喀刀（★ StatTrak™） | 狩猎网格,18,1239.5,2010.74,1.62,2024-06-20
廓尔喀刀,破损不堪,★,956707,廓尔喀刀（★） | 枯焦之色,27,1234,1710.57,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956634,廓尔喀刀（★） | 北方森林,87,1234,1596.63,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956657,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,46,1230.5,1962.62,1.59,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956618,廓尔喀刀（★ StatTrak™） | 北方森林,11,1228.49,2058.13,1.68,2024-06-20
廓尔喀刀,破损不堪,★,956636,廓尔喀刀（★） | 森林 DDPAT,28,1219.5,1701.79,1.4,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956743,廓尔喀刀（★ StatTrak™） | 北方森林,15,1219.1,1451.48,1.19,2024-06-20
廓尔喀刀,破损不堪,★,956695,廓尔喀刀（★） | 北方森林,31,1199,1607.01,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956660,廓尔喀刀（★） | 森林 DDPAT,54,1198.5,1627.47,1.36,2024-06-20
廓尔喀刀,战痕累累,★,956682,廓尔喀刀（★） | 北方森林,34,1198.05,1669.2,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956687,廓尔喀刀（★） | 狩猎网格,88,1197.5,1553.81,1.3,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957826,廓尔喀刀（★ StatTrak™） | 狩猎网格,6,1195.5,1807.09,1.51,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956744,廓尔喀刀（★ StatTrak™） | 狩猎网格,22,1194.5,1627.54,1.36,2024-06-20
廓尔喀刀,破损不堪,★,956681,廓尔喀刀（★） | 狩猎网格,27,1190.5,1559.11,1.31,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956652,廓尔喀刀（★ StatTrak™） | 北方森林,30,1298.5,1662.67,1.28,2024-06-20
廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,120,1292.5,1711.8,1.32,2024-06-20
廓尔喀刀,战痕累累,★,956673,廓尔喀刀（★） | 枯焦之色,85,1283,1712.75,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957857,廓尔喀刀（★ StatTrak™） | 枯焦之色,2,1279.5,2794.03,2.18,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956962,廓尔喀刀（★ StatTrak™） | 都市伪装,5,1279,3202.33,2.5,2024-06-20
廓尔喀刀,战痕累累,★,956688,廓尔喀刀（★） | 都市伪装,82,1278.5,1734.52,1.36,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956628,廓尔喀刀（★ StatTrak™） | 都市伪装,35,1267.5,1792.87,1.41,2024-06-20
廓尔喀刀,久经沙场,★,956659,廓尔喀刀（★） | 枯焦之色,107,1265.5,1692.86,1.34,2024-06-20
廓尔喀刀,久经沙场,★,956647,廓尔喀刀（★） | 都市伪装,103,1259.5,1648.59,1.31,2024-06-20
廓尔喀刀,破损不堪,★,956689,廓尔喀刀（★） | 都市伪装,27,1256.5,1837.57,1.46,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956699,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,3,1249.5,2104.65,1.68,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956655,廓尔喀刀（★ StatTrak™） | 枯焦之色,31,1249,1828.86,1.46,2024-06-20
廓尔喀刀,战痕累累,★,956686,廓尔喀刀（★） | 狩猎网格,71,1239.5,1752.66,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956664,廓尔喀刀（★ StatTrak™） | 狩猎网格,18,1239.5,2010.74,1.62,2024-06-20
廓尔喀刀,破损不堪,★,956707,廓尔喀刀（★） | 枯焦之色,27,1234,1710.57,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956634,廓尔喀刀（★） | 北方森林,87,1234,1596.63,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956657,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,46,1230.5,1962.62,1.59,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956618,廓尔喀刀（★ StatTrak™） | 北方森林,11,1228.49,2058.13,1.68,2024-06-20
廓尔喀刀,破损不堪,★,956636,廓尔喀刀（★） | 森林 DDPAT,28,1219.5,1701.79,1.4,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956743,廓尔喀刀（★ StatTrak™） | 北方森林,15,1219.1,1451.48,1.19,2024-06-20
廓尔喀刀,破损不堪,★,956695,廓尔喀刀（★） | 北方森林,31,1199,1607.01,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956660,廓尔喀刀（★） | 森林 DDPAT,54,1198.5,1627.47,1.36,2024-06-20
廓尔喀刀,战痕累累,★,956682,廓尔喀刀（★） | 北方森林,34,1198.05,1669.2,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956687,廓尔喀刀（★） | 狩猎网格,88,1197.5,1553.81,1.3,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957826,廓尔喀刀（★ StatTrak™） | 狩猎网格,6,1195.5,1807.09,1.51,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956744,廓尔喀刀（★ StatTrak™） | 狩猎网格,22,1194.5,1705.49,1.43,2024-06-20
廓尔喀刀,破损不堪,★,956681,廓尔喀刀（★） | 狩猎网格,27,1190.5,1559.11,1.31,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956652,廓尔喀刀（★ StatTrak™） | 北方森林,30,1298.5,1662.67,1.28,2024-06-20
廓尔喀刀,久经沙场,★,956563,廓尔喀刀（★） | 森林 DDPAT,120,1292.5,1711.8,1.32,2024-06-20
廓尔喀刀,战痕累累,★,956673,廓尔喀刀（★） | 枯焦之色,85,1283,1712.75,1.33,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957857,廓尔喀刀（★ StatTrak™） | 枯焦之色,2,1279.5,2794.03,2.18,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956962,廓尔喀刀（★ StatTrak™） | 都市伪装,5,1279,3202.33,2.5,2024-06-20
廓尔喀刀,战痕累累,★,956688,廓尔喀刀（★） | 都市伪装,82,1278.5,1734.52,1.36,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956628,廓尔喀刀（★ StatTrak™） | 都市伪装,35,1267.5,1792.87,1.41,2024-06-20
廓尔喀刀,久经沙场,★,956659,廓尔喀刀（★） | 枯焦之色,107,1265.5,1637.49,1.29,2024-06-20
廓尔喀刀,久经沙场,★,956647,廓尔喀刀（★） | 都市伪装,103,1259.5,1648.59,1.31,2024-06-20
廓尔喀刀,破损不堪,★,956689,廓尔喀刀（★） | 都市伪装,27,1256.5,1837.57,1.46,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956699,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,3,1249.5,2104.65,1.68,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956655,廓尔喀刀（★ StatTrak™） | 枯焦之色,31,1249,1828.86,1.46,2024-06-20
廓尔喀刀,战痕累累,★,956686,廓尔喀刀（★） | 狩猎网格,71,1239.5,1752.66,1.41,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956664,廓尔喀刀（★ StatTrak™） | 狩猎网格,18,1239.5,2010.74,1.62,2024-06-20
廓尔喀刀,破损不堪,★,956707,廓尔喀刀（★） | 枯焦之色,27,1234,1710.57,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956634,廓尔喀刀（★） | 北方森林,87,1234,1596.63,1.29,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956657,廓尔喀刀（★ StatTrak™） | 森林 DDPAT,46,1230.5,1962.62,1.59,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,956618,廓尔喀刀（★ StatTrak™） | 北方森林,11,1228.49,2058.13,1.68,2024-06-20
廓尔喀刀,破损不堪,★,956636,廓尔喀刀（★） | 森林 DDPAT,28,1219.5,1701.79,1.4,2024-06-20
廓尔喀刀,战痕累累,★ StatTrak™,956743,廓尔喀刀（★ StatTrak™） | 北方森林,15,1219.1,1451.48,1.19,2024-06-20
廓尔喀刀,破损不堪,★,956695,廓尔喀刀（★） | 北方森林,31,1199,1607.01,1.34,2024-06-20
廓尔喀刀,战痕累累,★,956660,廓尔喀刀（★） | 森林 DDPAT,54,1198.5,1627.47,1.36,2024-06-20
廓尔喀刀,战痕累累,★,956682,廓尔喀刀（★） | 北方森林,34,1198.05,1669.2,1.39,2024-06-20
廓尔喀刀,久经沙场,★,956687,廓尔喀刀（★） | 狩猎网格,88,1197.5,1553.81,1.3,2024-06-20
廓尔喀刀,破损不堪,★ StatTrak™,957826,廓尔喀刀（★ StatTrak™） | 狩猎网格,6,1195.5,1807.09,1.51,2024-06-20
廓尔喀刀,久经沙场,★ StatTrak™,956744,廓尔喀刀（★ StatTrak™） | 狩猎网格,22,1194.5,1627.54,1.36,2024-06-20
廓尔喀刀,破损不堪,★,956681,廓尔喀刀（★） | 狩猎网格,27,1190.5,1559.11,1.31,2024-06-20
